Department Code,Department Name,Department Full Name,School Code,School Name,Dept Budget Code,Is Degree Granting,Dept Name In Commencement Bk,School Name In Commencement Bk,Department Name History,Department Last Activity Date,Dlc Key,Warehouse Load Date
23,Modern Languages, 23 -Modern Languages,H,"Hum, Arts & Social Sciences","",Y,"","School of Humanities, Arts, and Social Sciences","",02/08/94 12:00 AM,D_FLL,01/08/16 12:10 AM
HASS,HASS Office (fcns as SHSS Ofc),HASS-HASS Office (fcns as SHSS Ofc),H,"Hum, Arts & Social Sciences",090000,Y,Program in HASS Office (fcns as SHSS Ofc),"School of Humanities, Arts, and Social Sciences","",08/29/94 12:00 AM,D_DHSS,01/08/16 12:10 AM
21N,21F no lottery, 21N-21F no lottery,H,"Hum, Arts & Social Sciences",093300,Y,"","School of Humanities, Arts, and Social Sciences","",08/01/95 12:00 AM,D_FLL,01/08/16 12:10 AM
21E,Humanities and Engineering, 21E-Humanities and Engineering,H,"Hum, Arts & Social Sciences",090000,Y,Department of Humanities,"School of Humanities, Arts, and Social Sciences","",10/12/00 12:00 AM,D_DHSS,01/08/16 12:10 AM
14,Economics, 14 -Economics,H,"Hum, Arts & Social Sciences",091000,Y,Department of Economics,"School of Humanities, Arts, and Social Sciences","",02/17/94 12:00 AM,D_ECO,01/08/16 12:10 AM
21F,Global Studies & Languages, 21F-Global Studies & Languages,H,"Hum, Arts & Social Sciences",093300,Y,Global Studies & Languages,"School of Humanities, Arts, and Social Sciences","",07/01/14 12:00 AM,D_FLL,01/08/16 12:10 AM
24,Linguistics and Philosophy, 24 -Linguistics and Philosophy,H,"Hum, Arts & Social Sciences",094000,Y,Department of Linguistics and Philosophy,"School of Humanities, Arts, and Social Sciences","",02/17/94 12:00 AM,D_L&P,01/08/16 12:10 AM
CMS,Comparative Media Studies,CMS -Comparative Media Studies,H,"Hum, Arts & Social Sciences",093600,Y,Program in Comparative Media Studies,"School of Humanities, Arts, and Social Sciences","",10/28/99 12:00 AM,D_CMS,01/08/16 12:10 AM
21S,Humanities and Science, 21S-Humanities and Science,H,"Hum, Arts & Social Sciences",090000,Y,Department of Humanities,"School of Humanities, Arts, and Social Sciences","",10/12/00 12:00 AM,D_DHSS,01/08/16 12:10 AM
WGS,Women's and Gender Studies,WGS -Women's and Gender Studies,H,"Hum, Arts & Social Sciences","",Y,"","School of Humanities, Arts, and Social Sciences","",04/21/11 12:00 AM,D_DHSS,01/08/16 12:10 AM
21G,Global Studies and Languages, 21G-Global Studies and Languages,H,"Hum, Arts & Social Sciences",093300,Y,Global Studies and Languages,"School of Humanities, Arts, and Social Sciences",For Lang & Lit,04/02/15 12:00 AM,"",01/08/16 12:10 AM
15,Management, 15 -Management,M,Sloan School of Management,121000,Y,Sloan School of Management,Sloan School of Management,"",02/17/94 12:00 AM,D_SLOAN,01/08/16 12:10 AM
SMGT,School of Management,SMGT-School of Management,M,Sloan School of Management,121000,Y,Program in School of Management,Sloan School of Management,"",02/17/94 12:00 AM,D_SLOAN,01/08/16 12:10 AM
LFM,Leaders For Manufacturing,LFM -Leaders For Manufacturing,M,Sloan School of Management,170000,Y,"",Sloan School of Management,"",08/15/96 12:00 AM,"",01/08/16 12:10 AM
OR,Operations Research,OR  -Operations Research,M,Sloan School of Management,121152,Y,Program in Operations Research,Sloan School of Management,"",06/30/15 12:00 AM,D_SLOAN,01/08/16 12:10 AM
LGO,Leaders for Global Operations,LGO -Leaders for Global Operations,M,Sloan School of Management,170000,Y,"",Sloan School of Management,"",05/08/09 12:00 AM,D_LGO,01/08/16 12:10 AM
5,Chemistry,  5 -Chemistry,S,Science,152000,Y,Department of Chemistry,School of Science,"",02/17/94 12:00 AM,D_CHEM,01/08/16 12:10 AM
7,Biology,  7 -Biology,S,Science,151000,Y,Department of Biology,School of Science,"",02/17/94 12:00 AM,D_BIOLOGY,01/08/16 12:10 AM
8,Physics,  8 -Physics,S,Science,158000,Y,Department of Physics,School of Science,"",02/17/94 12:00 AM,D_PHYSICS,01/08/16 12:10 AM
9,Brain and Cognitive Sciences,  9 -Brain and Cognitive Sciences,S,Science,154500,Y,Department of Brain and Cognitive Sciences,School of Science,"",02/17/94 12:00 AM,D_B&CS,01/08/16 12:10 AM
18,Mathematics, 18 -Mathematics,S,Science,154000,Y,Department of Mathematics,School of Science,"",02/17/94 12:00 AM,D_MATHS,01/08/16 12:10 AM
25,Interdisciplinary Science Prog, 25 -Interdisciplinary Science Prog,S,Science,"",Y,"",School of Science,"",01/21/94 12:00 AM,D_DEANSCI,01/08/16 12:10 AM
